"","Years","Model","Proxy"
"1",100,1.57037347576623,0.12074039165052
"2",200,1.38686163697654,0.102694578162236
"3",300,1.32397546055789,0.00573720563360419
"4",400,1.4172506996725,-0.0848183694817831
"5",500,1.47693272122809,0.012982149795694
"6",600,1.48039347977552,-0.0467576323832101
"7",700,1.32030886094101,0.0162943973274565
"8",800,1.40850750669086,-0.0203295976445683
"9",900,1.39290427578348,0.0392589550627521
"10",1000,1.35081735484382,0.0458527024797037
"11",1100,1.30881663895062,0.0306061478380751
"12",1200,1.33617025929298,0.0452117559813679
"13",1300,1.40266460699436,-0.0300564383224571
"14",1400,1.31813161633642,-0.00900103855918852
"15",1500,1.32531732521001,-0.0406247088458473
"16",1600,1.49842554639734,-0.0184961246199317
"17",1700,1.44422061947445,-0.036392592367437
"18",1800,1.50446634195013,-0.0146550332252944
"19",1900,1.41768084236442,-0.00667534008090293
"20",2000,1.28200929673239,0.0561213841487599
"21",2100,1.22237056271779,0.023013221969339
"22",2200,1.23341739619258,0.0748609327277257
"23",2300,1.34103286958514,0.0678106316611111
"24",2400,1.35231188801659,0.125758505517163
"25",2500,1.23627607829206,0.123095555906774
"26",2600,1.24683564203752,0.0186044230923045
"27",2700,1.30465706559362,-0.0421802458758597
"28",2800,1.24692263245151,0.0139983071310759
"29",2900,1.36954895120145,0.0428975290768015
"30",3000,1.48643524671626,0.0307580096374625
"31",3100,1.47563024141658,0.0628886513849302
"32",3200,1.32374650766559,0.0826257363373903
"33",3300,1.33067187883174,0.146968590745638
"34",3400,1.26425919123826,0.160476903010187
"35",3500,1.32823110428045,0.110636680905981
"36",3600,1.34466753984335,0.189611752126199
"37",3700,1.34155671306722,0.217473964436803
"38",3800,1.3380380471984,0.244838737085977
"39",3900,1.30865377705989,0.235494249369927
"40",4000,1.38368445083939,0.258822673505815
"41",4100,1.20307007856218,0.268598013818959
"42",4200,1.25690365330844,0.199231462217434
"43",4300,1.22557881653819,0.262836426234098
"44",4400,1.27787933239979,0.222542411872824
"45",4500,1.27337689914008,0.295547510750218
"46",4600,1.34196019441718,0.253842480882229
"47",4700,1.39664997708296,0.269173263954237
"48",4800,1.29241552910157,0.278437600098343
"49",4900,1.27211796447795,0.264812069014808
"50",5000,1.24253854603277,0.335148099309475
"51",5100,1.07703856380517,0.293997471063192
"52",5200,0.999480642802118,0.289627840132408
"53",5300,1.08149458771692,0.203620637027859
"54",5400,1.03710953138583,0.168125602153989
"55",5500,0.995975331018002,0.257594146806565
"56",5600,1.11223744586428,0.328200230806329
"57",5700,1.08850229632382,0.327674216455845
"58",5800,1.06137706002864,0.314853682988964
"59",5900,1.15187189150554,0.258610051690758
"60",6000,1.12333170437835,0.276558732726711
"61",6100,0.99930377119558,0.250726126517214
"62",6200,0.88937905257559,0.241186848038896
"63",6300,0.801528872053973,0.273426792548395
"64",6400,0.92376756605866,0.280252844219548
"65",6500,0.928430948587019,0.261788335970009
"66",6600,0.958835098253495,0.298098061087971
"67",6700,1.02152095420072,0.32979054934006
"68",6800,0.902853600864114,0.32149744062572
"69",6900,0.822731864475557,0.319464283039973
"70",7000,0.813007629478826,0.217845442884762
"71",7100,0.833782926496708,0.154757354287366
"72",7200,0.847966870316285,0.208943421030845
"73",7300,0.736748986444014,0.239337939126415
"74",7400,0.700551578371046,0.24742757283657
"75",7500,0.796335517816453,0.300685724576562
"76",7600,0.771166653024079,0.243992259320424
"77",7700,0.71816864131046,0.285947425202824
"78",7800,0.638188719730947,0.315152195284499
"79",7900,0.633104273908451,0.311096194111367
"80",8000,0.537676494941008,0.324053624328581
"81",8100,0.275027074036188,0.244119668573136
"82",8200,0.249887527392845,0.239594852704144
"83",8300,0.313271088550008,0.253953687164972
"84",8400,0.265385884576762,0.361171843375455
"85",8500,0.304353087184881,0.339922569608592
"86",8600,0.257425529481932,0.31653065998369
"87",8700,0.310591591064967,0.284816541914526
"88",8800,0.322027615656964,0.297980043350344
"89",8900,0.295775124529063,0.325130203625896
"90",9000,0.463957675062384,0.364799085451871
"91",9100,0.386781959345097,0.370998107794339
"92",9200,0.49692514458573,0.283652305333632
"93",9300,0.417298310163478,0.301848756800336
"94",9400,0.347301072868402,0.358058815175788
"95",9500,0.402416208440133,0.293568723974805
"96",9600,0.326020460178553,0.247855884573336
"97",9700,0.271765380121888,0.225146390227093
"98",9800,0.314734106222361,0.233092788135159
"99",9900,0.297622020443392,0.162048002200696
"100",10000,0.290791498043721,0.168791540179257
"101",10100,0.294222013184013,0.130644119385366
"102",10200,0.271392051037767,0.0945197466841212
"103",10300,0.0345692373520248,0.081868752886398
"104",10400,0.0306858453398189,0.0488143028746106
"105",10500,0.0612048893050681,0.0346773036114
"106",10600,-0.0538797913033487,-0.0180040856542275
"107",10700,-0.0782490279015054,-0.0719194576409072
"108",10800,-0.127771514266891,-0.145369132817997
"109",10900,-0.170478685630222,-0.20355673063841
"110",11000,-0.238263221283018,-0.297972159267891
"111",11100,-0.290184868250165,-0.374060755273409
"112",11200,-0.38174266588073,-0.325662607509022
"113",11300,-0.441339370033375,-0.337556873466188
"114",11400,-0.503318178969892,-0.440811460067464
"115",11500,-0.63925476841311,-0.509626824282703
"116",11600,-0.668277606411355,-0.586706759482589
"117",11700,-0.871024547770813,-0.73930058576693
"118",11800,-1.00302882273155,-0.759485924649762
"119",11900,-1.13963028989692,-1.03788243770223
"120",12000,-1.23266553036554,-0.997440411195759
"121",12100,-1.54204756563108,-1.08314566765382
"122",12200,-1.62188803605615,-1.09475397217536
"123",12300,-1.57858744709715,-1.12680580733421
"124",12400,-1.55309491851202,-1.17791110385036
"125",12500,-1.47298950181888,-1.33019985757756
"126",12600,-1.35241553379721,-1.33886879645505
"127",12700,-1.34516032056292,-1.4594828984832
"128",12800,-1.22342422700186,-1.40648669316444
"129",12900,-1.24358889183841,-1.33322448478946
"130",13000,-1.33512538490259,-1.34601433255394
"131",13100,-1.2813585924384,-1.3215707772954
"132",13200,-1.38786913372672,-1.22133413137328
"133",13300,-1.44993922457569,-1.13210075390365
"134",13400,-1.4251139897492,-1.12272560941878
"135",13500,-1.50311604343492,-1.08486339725193
"136",13600,-1.5542843233685,-1.19517476381548
"137",13700,-1.58858184922219,-1.14241554476351
"138",13800,-1.74413647952637,-1.23113341882444
"139",13900,-2.13540265922322,-1.21138392705582
"140",14000,-2.82842879175207,-1.30461113467093
"141",14100,-2.96813489136299,-1.24519106949352
"142",14200,-2.43863590360468,-1.25588303321901
"143",14300,-1.35235415652279,-1.25076408171977
"144",14400,-0.914533155330796,-1.32230037879913
"145",14500,-1.29373670627843,-1.39186209191017
"146",14600,-1.78454373085136,-1.6641507990875
"147",14700,-2.3683511704864,-1.7879192332666
"148",14800,-2.80563752036337,-1.98904328856371
"149",14900,-2.89355924969737,-1.98052034393999
"150",15000,-2.97248511360764,-2.09318641999254
"151",15100,-2.99188692385907,-2.10970614702481
"152",15200,-3.11005733161527,-2.06128940390511
"153",15300,-3.22480934096182,-2.12343105771584
"154",15400,-3.38868576705987,-2.11220558900471
"155",15500,-3.51592905451912,-2.1500022027469
"156",15600,-3.68597344652796,-2.2349983962866
"157",15700,-3.79029261079116,-2.29927050829047
"158",15800,-3.87666495747983,-2.23319751319878
"159",15900,-4.0369934536686,-2.25141865900268
"160",16000,-4.12759675025075,-2.278565685719
"161",16100,-4.24111159933516,-2.3558132563556
"162",16200,-4.35808700140841,-2.47038900729037
"163",16300,-4.49548548162489,-2.62847326011749
"164",16400,-4.60469770292395,-2.60197906149265
"165",16500,-4.73327360969204,-2.54807286321253
"166",16600,-4.77011512281487,-2.58846080548002
"167",16700,-4.87000860542981,-2.66468377784951
"168",16800,-4.97233349252916,-2.70471322753631
"169",16900,-5.07231007099777,-2.82714261460623
"170",17000,-5.09004390201683,-2.8624934741019
"171",17100,-5.23081425373002,-2.91936555476347
"172",17200,-5.25770836838275,-2.8838613724432
"173",17300,-5.28064549461264,-2.94767878608649
"174",17400,-5.20030159655607,-3.07793970295099
"175",17500,-5.15031284501414,-3.02465876785307
"176",17600,-5.19059628800391,-3.0100553125512
"177",17700,-5.16899592736771,-2.95844684487447
"178",17800,-5.18245776510722,-2.92799956325737
"179",17900,-5.1668982419039,-2.8806579770253
"180",18000,-5.07307949527057,-2.84163580518659
"181",18100,-4.99675200668517,-2.88396471819977
"182",18200,-4.97075236662858,-2.95665714171501
"183",18300,-4.91667505298491,-3.02934875399317
"184",18400,-4.8203928120319,-3.0384080803005
"185",18500,-4.94134012517417,-3.08779703241592
"186",18600,-5.06851966843911,-3.09890914200251
"187",18700,-5.11104897188353,-3.05971085620564
"188",18800,-5.12625634194464,-3.10962410231717
"189",18900,-5.09450688213786,-3.04420893988335
"190",19000,-5.03363795119275,-3.07939019739798
"191",19100,-4.92806168405341,-3.16988757973961
"192",19200,-4.90348418466048,-3.21327933768076
"193",19300,-4.95725914564892,-3.16748397159307
"194",19400,-4.91680211777117,-3.22051760593293
"195",19500,-4.90680315524041,-3.22872132684064
"196",19600,-4.91635018124842,-3.1947777139082
"197",19700,-4.88696885637783,-3.1174730191223
"198",19800,-4.86981272114632,-3.07657432041535
"199",19900,-4.85648235965445,-3.06087842552962
"200",20000,-4.8701030171449,-3.03498106017585
"201",20100,-4.9637546073169,-3.05949926211504
"202",20200,-5.01508120000164,-3.13456853559823
"203",20300,-5.10581365906716,-3.2616676692555
"204",20400,-4.98866352598743,-3.33028372869572
"205",20500,-5.03776360112036,-3.3026105832922
"206",20600,-5.06283731900272,-3.14894742774108
"207",20700,-5.08665648636772,-3.15033882504162
"208",20800,-5.07264282891421,-3.18951469711109
"209",20900,-5.072862379987,-3.21886010877124
"210",21000,-5.0452409986301,-3.25542460234534
"211",21100,-5.03666974703294,-3.29785596019166
"212",21200,-5.01181702156071,-3.33640351903197
"213",21300,-4.96278973701711,-3.39055799676459
"214",21400,-4.97018355281322,-3.39218191468004
"215",21500,-4.97144818972551,-3.34618936181093
"216",21600,-4.98686535655728,-3.35278567444697
"217",21700,-4.98465913675719,-3.35189544955536
"218",21800,-4.96533409698648,-3.24693435421727
"219",21900,-4.96727538006072,-3.28356563238096
"220",22000,-4.95690322825196,-3.30110424411903
