"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal"
"1",1,36.2054,-4.3127,"161_976","161_976.Martrat.2014.lpd",-1108,"Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",2014,"Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region","Quaternary Science Reviews"
"2",2,10.7061,-65.1694,"165_1002C","165_1002C.Herbert.2000.lpd",-892.6,"Atlantic Ocean>North Atlantic Ocean>Caribbean Sea","Atlantic Ocean>North Atlantic Ocean>Caribbean Sea","Herbert, T.D., Schuffert, J.D.",2000,"Alkenone unsaturation estimates of sea-surface tempreatures at site 1002 over a full glacial cycle","Proceedings of the Ocean Drilling Program, Scientific Results"
"3",3,34.2875,-120.036,"893A","893A.Kennet.2007.lpd",-588,"Pacific Ocean>North Pacific Ocean","Pacific Ocean>North Pacific Ocean","Kennett, Douglas J.; Kennett, James P.; Erlandson, Jon M.; Cannariato, Kevin G.",2007,"Human responses to Middle Holocene climate change on California's Channel Islands","Quaternary Science Reviews"
"4",4,27.82,126.9783,"A7","A7.Sun.2005.lpd",-1264,"Pacific Ocean>Western Pacific Ocean>East China Sea","Pacific Ocean>Western Pacific Ocean>East China Sea","Sun, Youbin; Oppo, Delia W.; Xiang, Rong; Liu, Weiguo; Gao, Shu",2005,"Last deglaciation in the Okinawa Trough: Subtropical northwest Pacific link to Northern Hemisphere and tropical climate","Paleoceanography"
"5",5,65.02,-127.48,"Bells Lake","BellsLake.Szeicz.1995.lpd",580,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Szeicz, Julian M.; MacDonald, Glen M.; Duk-Rodkin, Alejandra",1995,"Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology"
"6",6,-7.4,115.2,"BJ8_03_13GGC","BJ8_03_13GGC.Linsley.2010.lpd",-594,"Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Linsley, Braddock K.; Rosenthal, Yair; Oppo, Delia W.",2010,"Holocene evolution of the Indonesian throughflow and the western Pacific warm pool","Nature Geoscience"
"7",7,38.6345,-9.4542,"D13882","D13882.Tierney.lpd",-88,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean",NA,NA,NA,NA
"8",8,58.25,8,"Dalene","Dalene.Seppa.2009.lpd",40,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past"
"9",9,57.8724,-137.1045,"EW0408_66JC","EW0408_66JC.Praetorius.2015.lpd",-426,"Pacific Ocean>North Pacific Ocean>Gulf Of Alaska","Pacific Ocean>North Pacific Ocean>Gulf Of Alaska","Praetorius, S. K.; Mix, A. C.; Walczak, M. H.; Wolhowe, M. D.; Addison, J. A.; Prahl, F. G.",2015,"North Pacific deglacial hypoxic events linked to abrupt ocean warming","Nature"
"10",10,59.5554,-144.1535,"EW0408_85JC","EW0408_85JC.Praetorius.2015.lpd",-682,"Pacific Ocean>North Pacific Ocean>Gulf Of Alaska","Pacific Ocean>North Pacific Ocean>Gulf Of Alaska","Praetorius, S. K.; Mix, A. C.; Walczak, M. H.; Wolhowe, M. D.; Addison, J. A.; Prahl, F. G.",2015,"North Pacific deglacial hypoxic events linked to abrupt ocean warming","Nature"
"11",11,67.22,15.81,"Fauske Cave","FauskeCave.Linge.2009.lpd",160,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Linge, H.; Lauritzen, S.-E.; Andersson, C.; Hansen, J. K.; Skoglund, R.   .; Sundqvist, H. S.",2009,"Stable isotope records for the last 10 000 years from Okshola cave (Fauske, northern Norway) and regional comparisons","Climate of the Past"
"12",12,58.55,13.67,"Flarken","Flarken.Seppa.2005.lpd",108,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Sepp _, H.; Hammarlund, D.; Antonsson, K.",2005,"Low-frequency and high-frequency changes in temperature and effective humidity during the Holocene in south-central Sweden: Implications for atmospheric and oceanic forcings of climate","Climate Dynamics"
"13",13,-8.6765,112.8725,"GeoB10053_7","GeoB10053_7.Mohtadi.2010.lpd",-1372,"Indian Ocean","Indian Ocean","Mohtadi, Mahyar; Steinke, Stephan; L _ckge, Andreas; Groeneveld, Jeroen; Hathorne, Ed C.",2010,"Glacial to Holocene surface hydrography of the tropical eastern Indian Ocean","Earth and Planetary Science Letters"
"14",14,-9.0099,120.0153,"GeoB10069_3","GeoB10069_3.Gibbons.2014.lpd",-1250,"Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Gibbons, Fern T.; Oppo, Delia W.; Mohtadi, Mahyar; Rosenthal, Yair; Cheng, Jun; Liu, Zhengyu; Linsley, Braddock K.",2014,"Deglacial   18O and hydrologic variability in the tropical Pacific and Indian Oceans","Earth and Planetary Science Letters"
"15",15,-17.1572,11.0117,"GeoB1023_5","GeoB1023_5.Kim.2002.lpd",-1978,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Kim, Jung-Hyun; Schneider, Ralph R; M _ller, Peter J; Wefer, Gerold",2002,"Interhemispheric comparison of deglacial sea-surface temperature patterns in Atlantic eastern boundary currents","Earth and Planetary Science Letters"
"16",16,-5.5732,39.1082,"GeoB12605_3","GeoB12605_3.Kuhnert.2014.lpd",-195,"Indian Ocean","Indian Ocean","Kuhnert, Henning; Kuhlmann, Holger; Mohtadi, Mahyar; Meggers, Helge; Baumann, Karl-Heinz; P _tzold, J _rgen",2014,"Holocene tropical western Indian Ocean sea surface temperatures in covariation with climatic changes in the Indonesian region","Paleoceanography"
"17",17,-7.1383,39.8408,"GeoB12615_4","GeoB12615_4.Romahn.2014.lpd",-446,"Indian Ocean","Indian Ocean","Romahn, S.; Mackensen, A.; Groeneveld, J.; P _tzold, J.",2014,"Deglacial intermediate water reorganization: New evidence from the Indian Ocean","Climate of the Past"
"18",18,-23.315,12.3767,"GeoB1711_4","GeoB1711_4.Kirst.1999.lpd",-1967,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Kirst, Georg J.; Schneider, Ralph R.; M _ller, Peter J.; von Storch, Isabel; Wefer, Gerold",1999,"Late Quaternary temperature variability in the Benguela Current system derived from alkenones","Quaternary Research"
"19",19,-2.8147,144.4997,"GeoB17419_1","GeoB17419_1.Hollstein.2018.lpd",-1883,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Hollstein, Martina; Mohtadi, Mahyar; Rosenthal, Yair; Prange, Matthias; Oppo, Delia W.; Mart _nez MÌ©ndez, Gema; Tachikawa, Kazuyo; Moffa Sanchez, Paola; Steinke, Stephan; Hebbeln, Dierk",2018,"Variations in Western Pacific Warm Pool surface and thermocline conditions over the past 110,000 years: Forcing mechanisms and implications for the glacial Walker circulation","Quaternary Science Reviews"
"20",20,-3.6667,-37.7167,"GeoB3104_1","GeoB3104_1.Arz.1998.lpd",-767,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Arz, Helge W.; P _tzold, J _rgen; Wefer, Gerold",1998,"Correlated millennial-scale changes in surface hydrography and terrigenous sediment yield inferred from Last-Glacial marine deposits off northeastern Brazil","Quaternary Research"
"21",21,-4.6133,-36.6367,"GeoB3129_1","GeoB3129_1.Weldeab.2006.lpd",-830,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Weldeab, S.; Schneider, R.R.; KÌ¦lling, M.",2006,"Deglacial sea surface temperature and salinity increase in the western tropical Atlantic in synchrony with high latitude climate instabilities","Earth and Planetary Science Letters"
"22",22,-41,-74.3,"GeoB3313-1","GeoB33131.Lamy.2002.lpd",-852,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Lamy, Frank; R _hlemann, Carsten; Hebbeln, Dierk; Wefer, Gerold",2002,"High- and low-latitude climate control on the position of the southern Peru-Chile Current during the Holocene","Paleoceanography"
"23",23,-4.245,-36.345,"GeoB3910_2","GeoB3910_2.Arz.2001.lpd",-2362,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Arz, Helge W.; Gerhardt, S.; P _tzold, J.; RÌ¦hl, U.",2001,"Millennial-scale changes of surface- and deep-water flow in the western tropical Atlantic linked to Northern Hemisphere high-latitude climate during the Holocene","Geology"
"24",24,2.5,9.384,"GeoB4905_4","GeoB4905_4.Weldeab.2005.lpd",-1328,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Weldeab, Syee; Schneider, Ralph R.; KÌ¦lling, Martin; Wefer, Gerold",2005,"Holocene African droughts relate to eastern equatorial Atlantic cooling","Geology"
"25",25,36.38,-7.0713,"GeoB5901_2","GeoB5901_2.Kim.2004.lpd",-574,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Kim, Jung-Hyun; Rimbu, Norel; Lorenz, Stephan J.; Lohmann, Gerrit; Nam, Seung-Il; Schouten, Stefan; R _hlemann, Carsten; Schneider, Ralph R.",2004,"North Pacific and North Atlantic sea-surface temperature variability during the Holocene","Quaternary Science Reviews"
"26",26,20.2133,-18.4517,"GeoB7926_2","GeoB7926_2.Kim.2012.lpd",-2500,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Kim, Jung-Hyun; Romero, Oscar E.; Lohmann, Gerrit; Donner, Barbara; Laepple, Thomas; Haam, Eddie; Sinninghe DamstÌ©, Jaap S.",2012,"Pronounced subsurface cooling of North Atlantic waters off northwest Africa during Dansgaard   Oeschger interstadials","Earth and Planetary Science Letters"
"27",27,-18.565,37.38,"GeoB9307_3","GeoB9307_3.Weldeab.2014.lpd",-542,"Indian Ocean","Indian Ocean","Weldeab, Syee; Lea, David W.; Oberh _nsli, Hedi; Schneider, Ralph R.",2014,"Links between southwestern tropical Indian Ocean SST and precipitation over southeastern Africa over the last 17 kyr","Palaeogeography, Palaeoclimatology, Palaeoecology"
"28",28,-19.2018,37.0415,"GeoB9310_4","GeoB9310_4.Weldeab.2014.lpd",-543,"Indian Ocean","Indian Ocean","Weldeab, Syee; Lea, David W.; Oberh _nsli, Hedi; Schneider, Ralph R.",2014,"Links between southwestern tropical Indian Ocean SST and precipitation over southeastern Africa over the last 17 kyr","Palaeogeography, Palaeoclimatology, Palaeoecology"
"29",29,55.26,-26.725,"GIK17049_6","GIK17049_6.Jung.1996.lpd",-3331,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Jung, Simon J.A.",1996,"Wassermassenaustausch zwischen NE-Atlantik und Nordmeer w _hrend der letzten 300.000/80.000 Jahre im Abbild stabiler 0- und C-isotope","Berichte aus dem Sonderforschungsbereich 313, Ver _nderungen der Umwelt - Der NÌ¦rdliche Nordatlantik"
"30",30,56.1633,-31.99,"GIK17051_3","GIK17051_3.Jung.1996.lpd",-2295,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Jung, Simon J.A.",1996,"Wassermassenaustausch zwischen NE-Atlantik und Nordmeer w _hrend der letzten 300.000/80.000 Jahre im Abbild stabiler 0- und C-isotope","Berichte aus dem Sonderforschungsbereich 313, Ver _nderungen der Umwelt - Der NÌ¦rdliche Nordatlantik"
"31",31,20.1167,117.3833,"GIK17940_2","GIK17940_2.Pelejero.1999.lpd",-1727,"Pacific Ocean>Western Pacific Ocean>South China Sea","Pacific Ocean>Western Pacific Ocean>South China Sea","Pelejero, Carles; Grimalt, Joan O.; Heilig, Stephanie; Kienast, Markus; Wang, Luejiang",1999,"High-resolution U K37 temperature reconstructions in the South China Sea over the past 220 kyr","Paleoceanography"
"32",32,-3.6298,119.36,"GiK18515_3","GiK18515_3.lpd",-688,"Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","SchrÌ¦der, Jan F.; Holbourn, Ann; Kuhnt, Wolfgang; K _ssner, Kevin",2016,"Variations in sea surface hydrology in the southern Makassar Strait over the past 26 kyr","Quaternary Science Reviews"
"33",33,74.9981,13.9685,"GIK23258_2","GIK23258_2.Martrat.2003.lpd",-1768,"Atlantic Ocean>North Atlantic Ocean>Norwegian Sea","Atlantic Ocean>North Atlantic Ocean>Norwegian Sea","Martrat, Belen; Grimalt, Joan O.; Villanueva, Joan; van Kreveld, Shirley; Sarnthein, Michael",2003,"Climatic dependence of the organic matter contributions in the north eastern Norwegian Sea over the last 15,000 years","Organic Geochemistry"
"34",34,58.53,7.73,"Grostjorn","Grostjorn.Eide.2009.lpd",180,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past"
"35",35,72.6947,-157.52,"HLY0501","HLY0501.deVernal.2013.lpd",415,"Arctic Ocean","Arctic Ocean","de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, AndrÌ©; FrÌ©chette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas","Quaternary Science Reviews"
"36",36,58.3677,-57.507,"HU84","HU84.deVernal.2013.lpd",-2853,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, AndrÌ©; FrÌ©chette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas","Quaternary Science Reviews"
"37",37,58.2098,-48.3733,"HU90","HU90.deVernal.2013.lpd",-3380,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, AndrÌ©; FrÌ©chette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas","Quaternary Science Reviews"
"38",38,77.2667,-74.3317,"HU91-039-008","HU91-039-008.Levac.2001.lpd",-663,"Arctic Ocean","Arctic Ocean","Levac, Elisabeth; Vernal, Anne De; Blake Jr., Weston",2001,"Sea-surface conditions in northernmost Baffin Bay during the Holocene: palynological evidence","Journal of Quaternary Science"
"39",39,61.9,-145.6667,"Hudson-AK","Hudson.Clegg.2011.lpd",657,"North America>United States Of America>Alaska","North America>United States Of America>Alaska","Clegg, B. F.; Kelly, R.; Clarke, G. H.; Walker, I. R.; Hu, F. S.",2011,"Nonlinear response of summer temperature to Holocene insolation forcing in Alaska","Proceedings of the National Academy of Sciences"
"40",40,71.99,14.36,"JM01-1199 and T88-2 splice","JM01-1199.Hald.2007.lpd",-1500,"Atlantic Ocean>North Atlantic Ocean>Norwegian Sea","Atlantic Ocean>North Atlantic Ocean>Norwegian Sea","Hald, Morten; Andersson, Carin; Ebbesen, Hanne; Jansen, Eystein; Klitgaard-Kristensen, Dorthe; Risebrobakken, Bj  rg; Salomonsen, Gaute R.; Sarnthein, Michael; Sejrup, Hans Petter; Telford, Richard J.",2007,"Variations in temperature and extent of Atlantic Water in the northern North Atlantic during the Holocene","Quaternary Science Reviews"
"41",41,68.1,-29.35,"JM96-1207","JM96-1207.Solignac.2013.lpd",-404,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Solignac, Sandrine; Giraudeau, Jacques; de Vernal, Anne",2006,"Holocene sea surface conditions in the western North Atlantic: Spatial and temporal heterogeneities","Paleoceanography"
"42",42,62.02,10.37,"Kinnshaugen","Kinnshaugen.Seppa.2009.lpd",591,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past"
"43",43,26.374,-92.027,"KNR159_JPC26","KNR159_JPC26.Antonarakou.2015.lpd",-1995,"Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico","Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico","Antonarakou, A.; Kontakiotis, G.; Mortyn, P.G.; Drinia, H.; Sprovieri, M.; Besiou, E.; Tripsanas, E.",2015,"Biotic and geochemical (   18 O,    13 C, Mg/Ca, Ba/Ca) responses of Globigerinoides ruber morphotypes to upper water column variations during the last deglaciation, Gulf of Mexico","Geochimica et Cosmochimica Acta"
"44",44,24.3267,-83.2524,"KNR166_JPC26","KNR166_JPC26.Schmidt.2011.lpd",-546,"Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico","Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico","Schmidt, Matthew W.; Lynch Stieglitz, Jean",2011,"Florida Straits deglacial temperature and salinity change: Implications for tropical hydrologic cycle variability during the Younger Dryas","Paleoceanography"
"45",45,24.4117,-83.219,"KNR166_JPC51","KNR166_JPC51.Schmidt.2012.lpd",-198,"Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico","Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico","Schmidt, Matthew W.; Weinlein, William A.; Marcantonio, Franco; Lynch-Stieglitz, Jean",2012,"Solar forcing of Florida Straits surface salinity during the early Holocene","Paleoceanography"
"46",46,-3.7492,-81.1342,"KNR195_5_CDH23","KNR195_5_CDH23.Bova.2015.lpd",-370,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Bova, Samantha C.; Herbert, Timothy; Rosenthal, Yair; Kalansky, Julie; Altabet, Mark; Chazen, Caitlin; Mojarro, Angel; Zech, Jana",2015,"Links between eastern equatorial Pacific stratification and atmospheric CO2 rise during the last deglaciation","Paleoceanography"
"47",47,-3.986,-81.3087,"KNR195_5_CDH26","KNR195_5_CDH26.Bova.2015.lpd",-1023,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Bova, Samantha C.; Herbert, Timothy; Rosenthal, Yair; Kalansky, Julie; Altabet, Mark; Chazen, Caitlin; Mojarro, Angel; Zech, Jana",2015,"Links between eastern equatorial Pacific stratification and atmospheric CO2 rise during the last deglaciation","Paleoceanography"
"48",48,31.63,128.95,"KY07_04_PC1","KY07_04_PC1.Kubota.2010.lpd",-758,"Pacific Ocean>Western Pacific Ocean>East China Sea","Pacific Ocean>Western Pacific Ocean>East China Sea","Kubota, Yoshimi; Kimoto, Katsunori; Tada, Ryuji; Oda, Hirokuni; Yokoyama, Yusuke; Matsuzaki, Hiroyuki",2010,"Variations of East Asian summer monsoon since the last deglaciation based on Mg/Ca and oxygen isotope of planktic foraminifera in the northern East China Sea","Paleoceanography"
"49",49,68.52,14.87,"Liltlvatn","Liltlvatn.Seppa.2009.lpd",106,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past"
"50",50,59.2,-135.4,"Lily","Lily.Cwynar.1990.lpd",230,"North America>United States Of America>Alaska","North America>United States Of America>Alaska","Cwynar, Les C.",1990,"A late Quaternary vegetation history from Lily Lake, Chilkat Peninsula, southeast Alaska","Canadian Journal of Botany"
"51",51,58.9383,-20.4083,"LO09-14","LO09-14.Berner.2008.lpd",-1685,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Berner, K. S.; KoÌ¤, N.; Divine, D.; Godtliebsen, F.; Moros, M.",2008,"A decadal-scale Holocene sea surface temperature record from the subpolar North Atlantic constructed using diatoms and statistics and its relation to other climate parameters","Paleoceanography"
"52",52,49.3757,152.8779,"LV29_114_3","LV29_114_3.Riethdorf.2013.lpd",-1762,"Pacific Ocean>North Pacific Ocean>Sea Of Okhotsk","Pacific Ocean>North Pacific Ocean>Sea Of Okhotsk","Riethdorf, Jan-Rainer; Max, Lars; N _rnberg, Dirk; Lembke-Jene, Lester; Tiedemann, Ralf",2013,"Deglacial development of (sub) sea surface temperature and salinity in the subarctic northwest Pacific: Implications for upper-ocean stratification","Paleoceanography"
"53",53,68.26,65.8,"Lyadhej-To","Lyadhej-To.Andreev.2005.lpd",150,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Andreev, Andrei A.; Tarasov, Pavel E.; Ilyashuk, Boris P.; Ilyashuk, Elena A.; Cremer, Holger; Hermichen, Wolf-Dieter; Wischer, Frank; Hubberten, Hans-Wolfgang",2005,"Holocene environmental history recorded in Lake Lyadhej-To sediments, polar Urals, Russia","Palaeogeography, Palaeoclimatology, Palaeoecology"
"54",54,-17.4205,-71.769,"M135_005_3","M135_005_3.Salvatteci.2019.lpd",-197,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Mollieraâ‚¬ÂVogel, Elfi",2019,"Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry","Geophysical Research Letters"
"55",55,-15.1035,-75.688,"M77_2_003_2","M77_2_003_2.Salvatteci.2019.lpd",-271,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Mollieraâ‚¬ÂVogel, Elfi",2019,"Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry","Geophysical Research Letters"
"56",56,-9.295,-79.6185,"M77_2_029_3","M77_2_029_3.Salvatteci.2019.lpd",-433,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Mollieraâ‚¬ÂVogel, Elfi",2019,"Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry","Geophysical Research Letters"
"57",57,-3.9502,-81.3205,"M77_2_059_1","M77_2_059_1.N_rnberg.2015.lpd",-997,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","N _rnberg, Dirk; BÌ¦schen, Tebke; Doering, Kristin; Mollier-Vogel, Elfi; Raddatz, Jacek; Schneider, Ralph",2015,"Sea surface and subsurface circulation dynamics off equatorial Peru during the last 17 kyr","Paleoceanography"
"58",58,-13.0825,121.788,"MD01_2378","MD01_2378.Xu.2008.lpd",-1783,"Indian Ocean","Indian Ocean","Xu, Jian; Holbourn, Ann; Kuhnt, Wolfgang; Jian, Zhimin; Kawamura, Hiroshi",2008,"Changes in the thermocline structure of the Indonesian outflow during Terminations I and II","Earth and Planetary Science Letters"
"59",59,6.6353,113.409,"MD01_2390","MD01_2390.Steinke.2008.lpd",-1545,"Pacific Ocean>Western Pacific Ocean>South China Sea","Pacific Ocean>Western Pacific Ocean>South China Sea","Steinke, Stephan; Kienast, Markus; Groeneveld, Jeroen; Lin, Li-Chuan; Chen, Min-Te; Rendle-B _hring, Rebecca",2008,"Proxy dependence of the temporal pattern of deglacial warming in the tropical South China Sea: Toward resolving seasonality","Quaternary Science Reviews"
